feature,note_id,type,title,desc,video_url,time,last_update_time,user_id,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,image_list,tag_list,last_modify_ts,note_url,source_keyword
ai-advertisement,611bab7600000000210376ef,video,Ai放射人像，15秒钟搞定！创意海报赶紧做起来吧！！??#Ai教程 #海报,Ai放射人像，15秒钟搞定！创意海报赶紧做起来吧！！??#Ai教程 #海报,http://sns-video-bd.xhscdn.com/eff2836d-d8c1-3909-9574-64faf1a3c011,1629203318000,1629203319000,5c6cd99d0000000012038d49,设会一姐,https://sns-avatar-qc.xhscdn.com/avatar/5f3dcbd551b17200018ff4dc.jpg,5976,5601,35,366,,http://sns-webpic-qc.xhscdn.com/202410151433/19ae24a9f485f172696b209a7367851e/158c3f97-9fa2-3648-9715-2cf5a8f37b22!nd_dft_wlteh_webp_3,,1728973989648,https://www.xiaohongshu.com/explore/611bab7600000000210376ef?xsec_token=ABGaor0ZkNDVRxNfhH4my9rzfAiGABsCOLp6HbmA2jqmI=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,6139c042000000000102b4dc,normal,?海报思路教程：牛角包??,"??这不仅是牛角包的制作教程，也是我作图思路的总结概述。
	
??第一次出教程，不太细致，如有问题可以多多交流，希望能给大家带来帮助！[大笑R]
	
#海报设计[话题]# #原创海报设计[话题]# #设计练习[话题]# #海报教程[话题]#",,1631174722000,1631174722000,60e1a633000000002002b212,嘻嘻,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo318825706k6005o71kopo5cgib1q4098,5227,3291,100,251,,"http://sns-webpic-qc.xhscdn.com/202410151433/621e09f292a3ef411b874fecc9692a64/bb2113ff-a30b-3d59-a600-963b7e091de9!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/431b56bd21d55042fe3409a38d2b2c56/10f52490-99ba-3985-b249-68bab2967360!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/8db5acfa9f7ede6f1bf50ea02783a4ed/4262f5d4-b120-3b86-a501-0d20ba35c878!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/9eec693581d866671c18a44c58b04976/9fd61538-fd65-3f90-96ca-616d008c7a54!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/9b7456435bf137ba1698552152f7486a/d0a3fa59-9989-324f-ada2-b49ea4e9c2af!nd_dft_wlteh_webp_3","海报设计,原创海报设计,设计练习,海报教程",1728973989696,https://www.xiaohongshu.com/explore/6139c042000000000102b4dc?xsec_token=ABb60dG9SR00oDVBWBjxosc0TUWzg5ao8eBtlXlaQoSkQ=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,61c3e0d1000000000102f82c,video,5步制作炫酷破碎效果,#平面设计[话题]#??#海报设计[话题]#??#ai[话题]#??#创意#制作[话题]#??#视觉设计[话题]#??#AI教程[话题]#??#碎片[话题]#,http://sns-video-bd.xhscdn.com/spectrum/58beae86c4f297215edf332613d57c1f5c522aba,1640227025000,1640227026000,5cbda32c0000000012017ef0,付顽童小雅,https://sns-avatar-qc.xhscdn.com/avatar/5cbda32c0000000012017ef0.jpg,2.2万,2万,94,1611,,http://sns-webpic-qc.xhscdn.com/202410151432/b37ab26ec62ba832e695a707f4698969/spectrum/07b961d12dd7575b2aee32d8567aa2cedabd524d!nd_dft_wlteh_webp_3,"平面设计,海报设计,ai,创意制作,视觉设计,AI教程,碎片",1728973989548,https://www.xiaohongshu.com/explore/61c3e0d1000000000102f82c?xsec_token=ABPIoGiSjm48dD7vpNLGbVRF4NhlNBi4zi-xvOYiafW-Q=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,62f592b5000000001200328a,normal,Ai教程｜弥散光海报??,"最近超火的弥散风海报来啦，秋天到了，给大家来个柿柿如意，好柿发生吧！
?软件：AI
?方法：混合工具
不懂得留言区解答，喜欢的话就支持下吧~
??任何形式的转播、翻录
—————————————————————
#平面设计[话题]# #AI教程[话题]# #ai[话题]# #Ai[话题]# #弥散风[话题]# #弥散光[话题]# #海报[话题]# #海报练习[话题]# #海报[话题]# #教程[话题]# #海报设计[话题]# #好事发生[话题]# #事事如意[话题]# #柿柿如意[话题]#",,1660261045000,1660261045000,55a4a6a0a75c950316797dbe,大鲸设计坊,https://sns-avatar-qc.xhscdn.com/avatar/632a42b677c78e6ffc233572.jpg,5755,4297,48,444,,"http://sns-webpic-qc.xhscdn.com/202410151433/b79ea43b7d2ac4aaf708b54cb53fa4e4/01028c013pqp4clbdfi010gc7ss0qbicwe!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/d460cbaaae1b336ae574379a2f7dedf7/01028c013pqp4clbdfi010gc7ss1fx0h26!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/887f9b6f75554e5b4f378316a4519d5e/01028c013pqp4clbdfi010gc7ss25omu0x!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/84260795dd0e91bfff480810c8e55f73/01028c013pqp4clbdfi010gc7ss3yv0twj!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/089c803f159206957b065fba18cd5726/01028c013pqp4clbdfi010gc7ss4v844pp!nd_dft_wlteh_webp_3","平面设计,AI教程,ai,Ai,弥散风,弥散光,海报,海报练习,教程,海报设计,好事发生,事事如意,柿柿如意",1728973989672,https://www.xiaohongshu.com/explore/62f592b5000000001200328a?xsec_token=ABHDukEKqyNb9XW2HgSy29pkCvnqXa0DatHijklZkd5Sk=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,632064de00000000080197f3,video,Ai教程 | 一步搞定抽象梦幻?彼岸花海报??,"这个Ai小技巧你一定要学会，分分钟搞定各种抽象风格，再加上描边箭头样式的加持，渐变色的叠加，梦幻浪漫海报分分钟被拿捏。觉得有用的话别忘了点赞哦～
?????????????
喜欢的宝贝一键三连好不好？???
??任何形式的转播、翻录
—————————————————————
#ai[话题]# #AI教程[话题]# #教程[话题]# #ai教程[话题]# #抽象艺术[话题]# #抽象海报[话题]# #梦幻[话题]# #唯美[话题]# #抽象线条[话题]# #彼岸花[话题]# #创意海报[话题]# #海报教程[话题]# #设计教程[话题]# #浪漫[话题]# #海报[话题]#",http://sns-video-bd.xhscdn.com/pre_post/01029d013pqp4clbdfi0214uqa801magba,1663067358000,1663068246000,55a4a6a0a75c950316797dbe,大鲸设计坊,https://sns-avatar-qc.xhscdn.com/avatar/632a42b677c78e6ffc233572.jpg,8595,8660,71,435,,http://sns-webpic-qc.xhscdn.com/202410151432/c1a42eefa1e42a9093e2581498b4df3a/01029d013pqp4clbdfi01151yrs1na1149!nd_dft_wlteh_webp_3,"ai,AI教程,教程,ai教程,抽象艺术,抽象海报,梦幻,唯美,抽象线条,彼岸花,创意海报,海报教程,设计教程,浪漫,海报",1728973989587,https://www.xiaohongshu.com/explore/632064de00000000080197f3?xsec_token=ABzuE1wO2z-7ISC94mqYQ3U_R4IRXkWW_U6n4YJc7Fehs=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,6369f88a0000000009006968,video,海报教程丨3D黏土字效海报,"软乎乎的黏土字效教程来啦~
AI需要版本是2022哦~
#平面设计[话题]#??#海报[话题]#??#版式设计[话题]#??#字体设计[话题]#
@小红书REDesign??@小红书成长助手",http://sns-video-bd.xhscdn.com/spectrum/1000g0jg1i4mn54ab000049onteqdojr6m69er08,1667908816000,1667889290000,59a034dc5e87e76012cc4f66,做设计的小肥肥,https://sns-avatar-qc.xhscdn.com/avatar/61129de8ffbf96a8487949cc.jpg,5933,5242,99,557,,http://sns-webpic-qc.xhscdn.com/202410151433/81dde816554f64d5d18c2f8a400b3720/spectrum/1000g0k01i4mnf3eak00049onteqdojr6jqajhbo!nd_dft_wlteh_webp_3,"平面设计,海报,版式设计,字体设计",1728973989659,https://www.xiaohongshu.com/explore/6369f88a0000000009006968?xsec_token=ABIunogixbgLf931yrdtsa25PPeuDRtF6MR3rBXWpLG4s=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,636a1ea1000000000601f2df,video,客户直接说牛！！！要的就是这个，哈哈,"全网最美ai教程,来了你就能学好~哈哈
每周更新，同学，一起成长哦~[大笑R]
#视觉传达设计[话题]#??#AI教程[话题]#??#平面设计[话题]#??#平面设计海报[话题]#??#版式设计[话题]#??#ai设计[话题]#??#美果设计就业班[话题]#",http://sns-video-bd.xhscdn.com/spectrum/1000g0jg1i58ubgiai0005ohf929k0pgh5kq5rjo,1667910000000,1667899042000,622f48930000000010006611,教设计的肖豆子,https://sns-avatar-qc.xhscdn.com/avatar/622f4c4017931fe4c68ce77c.jpg,2.1万,2.1万,212,774,,http://sns-webpic-qc.xhscdn.com/202410151432/fcee06896a14fcf820722ef59afc08ec/spectrum/1000g0k01i59h5bib40005ohf929k0pgh4ivla60!nd_dft_wlteh_webp_3,"视觉传达设计,AI教程,平面设计,平面设计海报,版式设计,ai设计,美果设计就业班",1728973989560,https://www.xiaohongshu.com/explore/636a1ea1000000000601f2df?xsec_token=ABCBH7Ie0ypaxdGASPCQUJMdzw36Sl355fdp_kOJ6DgGU=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,63a32253000000001c0363ff,normal,【海报设计练习】Ai 3D膨胀功能 LOVE情人节,"风格简单但是对CPU不是很友好的一张图
2022的Ai  膨胀了 开始玩3D了
没错 本篇用到的功能就是2022版Ai的新功能
3D膨胀（扁平化文字或图形施加效果-3D膨胀 参数见图）
让Ai的使用者不需要跨软件即可实现3D效果
它一直在给设计师带来便捷和更多的可能性
海报利用底图的扁平与主体文字的3D效果
加之简约的黑白与彩色的配色
造成视觉的反差感与艺术感
是个人非常喜欢的现代风格
??关于渲染出现白点的问题综合大家的反馈
总结出的解决办法见最后一张图的参数
灵感来自@Horizon 分享的灵感采集笔记
#Ai[话题]##海报练习[话题]# #灵感[话题]# #海报设计[话题]# #现代风格[话题]# #情人节[话题]##撞色[话题]#",,1671635539000,1681113704000,5fc995210000000001009020,小绵羊赶集,https://sns-avatar-qc.xhscdn.com/avatar/5fc995210000000001009020.jpg,4657,4391,90,542,,"http://sns-webpic-qc.xhscdn.com/202410151433/c727e1b7b91142f48d2ca9277594b2bb/1000g0081p40njbaeg0005nu9ikgg9410j9ot060!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/e7ca143ae2c6f684bca6dc3e98dd92df/1000g0081p40njbaeg00g5nu9ikgg9410v7p6rig!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/c35b34564621c0ad0373bfda547a73b0/1000g0081p40njbaeg0105nu9ikgg9410fm9aiug!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/087693689746d5d04ce821b3331a846c/1000g0081p40njbaeg01g5nu9ikgg9410aji7nlo!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/fb61dec9bf3bf0eea9c8539d73253d34/1000g0081p40njbaeg0205nu9ikgg9410rfgat6g!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/f39af80daeb1de98fb3d80529c80bdbc/1000g0082aousqosgu0005nu9ikgg94102un5j38!nd_dft_wgth_webp_3","Ai,海报练习,灵感,海报设计,现代风格,情人节,撞色",1728973989735,https://www.xiaohongshu.com/explore/63a32253000000001c0363ff?xsec_token=ABgLO9x4G32IOIE-klHSXs3GIzWde72XOkjn3-EPvDHEg=&xsec_source=pc_search,AI设计海报，广告
ai-advertisement,63f2f9be0000000013031b5e,normal,AI 产品经理（一）| 什么是 AIGC 及常用术语,"#工作使我快乐[话题]#
AIGC 23/1/20
一  AIGC简介：
AIGC（Artificial Intelligence Generated Content)人工智能生成
发展历程：
PGC-UGC-AIGC
	
AI内容创作的四大模态
[一R]文本生成
[二R]音频生成
[三R]图像生成
[四R]AI视频生成
	
二  AIGC在元宇宙和Web3.0
	
元宇宙： 虚拟形象，虚拟物品，虚拟场景
Web3.0:
[一R]AIGC生成制作NFT
[二R]绘画风格确权
[三R]结合AIGC的GameFi
	
三 AIGC的应用
职能应用
[一R]AIGC与产品研发
通过辅助编程提高代码生产效率。
生成应用直接将需求变成产品。
创建和维护文档注释，提高沟通效率。
测试代码，纠正错误
[二R]AIGC与市场营销
创意营销、销售流程、智能客户服务
[三R]AIGC与管理协作
智能行政助理、智能内部沟通、智能团队协作、智能人力资源管理
	
AIGC的行业应用
[一R]资讯行业
辅助信息搜集、资讯生成、内容分发
[二R]影视行业
剧本写作、创意落地
[三R]电商行业
构建三维商品、产品拍摄、虚拟主播
[四R]教育行业
从“有限”走向“无限”、实现减负提效
[五R]金融行业
智慧客服与智慧顾问服务
[六R]医疗行业
AI预问诊、用药咨询、用药提醒
	
四 产业地图  数据+算法+应用
[一R]产业上游：数据服务
数据查询与处理、数据转换与编排、数据标注与管理、数据治理与合规
[二R]产业中游：算法模型
人工智能实验室、集团科技研究院、开源社区
[三R]产业下游：应用拓展
文本处理、音频处理、图像处理、视频处理
五 AIGC的未来
[一R]技术趋势
大模型的广泛应用、人工智能“仿人模式”、技术伦理成为发展的重要关注点
[二R]AIGC时代的参与主体
创业者、 投资人、政府
[三R]风险与监管
版权问题，欺诈问题，违禁内容
	
chatGpt 会不会取代我的工作，暂时应该不会，因为它不会和研发吵架嗯嗯?? #产品经理[话题]# #产品运营我在行[话题]# #工作使我快乐[话题]# #学习打卡[话题]# #ai[话题]# #AIGC[话题]# #元宇宙[话题]# #产品经理入门[话题]# #产品经理面经[话题]# #我和AI有画说[话题]##人工智能[话题]# #求职季[话题]# #NFT[话题]# #chatGPT[话题]# #chatgpt[话题]# @知识薯 @薯队长",,1676868030000,1677907854000,58ea04a75e87e72744f682c9,六七七,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31708u71hjm0049cl8a2af0m9nqil3d0,502,720,8,135,,"http://sns-webpic-qc.xhscdn.com/202410150001/4b411ea7254b6e29b53044645129c6d9/1000g00822rstdsqfe00049cl8a2af0m9r56l660!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410150001/1eda2980968636b0e55720ca86184944/1000g00822rstdsqfe00g49cl8a2af0m9oqv707g!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410150001/94c25380747a888098f8796a0101c51d/1000g00822rstdsqfe01049cl8a2af0m95pnad8g!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410150001/7b00b27dd481ba06ef3cd89af302a5ef/1000g00822rstdsqfe01g49cl8a2af0m9vqenslo!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410150001/ab20867e9cb679fef09647e7e6985f34/1000g00822rstdsqfe02049cl8a2af0m9qsb6c7g!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410150001/9cb93d6839c7f9f46d0318a51b94d746/1000g00822rstdsqfe02g49cl8a2af0m9ldsgssg!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410150001/4f7668fad9812f2e99af80c7b8bee07c/1000g00822rstdsqfe03049cl8a2af0m953evte0!nd_dft_wlteh_webp_3","工作使我快乐,产品经理,产品运营我在行,学习打卡,ai,AIGC,元宇宙,产品经理入门,产品经理面经,我和AI有画说,人工智能,求职季,NFT,chatGPT,chatgpt",1728921684663,https://www.xiaohongshu.com/explore/63f2f9be0000000013031b5e?xsec_token=ABDdvFYPCQZSGYP0QK5oJymxvn4cbaTeg1hP_FQ5kj4ZA=&xsec_source=pc_search,AIGC在品牌营销中的应用
ai-advertisement,6405a4540000000027003819,normal,停止摆烂 学习做100张海报No.1,"No.1 郁见春日[郁金香R] 【Ai弥散风海报】
—————————
[星R]“想做什么就大胆去做，一切都还来得及！”
[看R]记录海报设计学习过程，每天进步一点点。
一起行动起来吧[斜眼R]
	
#20度的春日PLOG[话题]# #ai[话题]# #AI[话题]# #海报[话题]# #海报练习[话题]# #Ai海报设计[话题]# #AI教程[话题]# #创意海报[话题]##郁金香??[话题]#
@小红书成长助手 @小红书创作学院 @小红书REDesign @薯队长 @薯条小助手",,1678091348000,1678091348000,5d285949000000001103ff1a,薏米花生,https://sns-avatar-qc.xhscdn.com/avatar/5fb7cbac07040d000198cd06.jpg,6529,4027,223,351,,"http://sns-webpic-qc.xhscdn.com/202410151433/c2079b931fc019a63d69c9cf79e96eaf/1000g008254q6osofs0705n98b54kfvoqmsetad8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/3f8e3f792b4aa53a2a24c947703b3384/1000g008254q6osofs07g5n98b54kfvoqvquu308!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/3aff23c5d4224a725867ef7d9a8eeb59/1000g008254q6osofs0805n98b54kfvoq53j3m3g!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/2e83a04847d84e608c6646928fcd6ac4/1000g008254q6osofs08g5n98b54kfvoq40vb4j0!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/4c4e797e0c9c1e591ee21085ac7fe7f4/1000g008254q6osofs0905n98b54kfvoq3ub5a40!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/5bf9047ca4c9ad7c26ecb4b3107918a5/1000g008254q6osofs09g5n98b54kfvoq5b0pup8!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202410151433/74d79a8609cb7cbd96723c7a5d58b6b5/1000g008254q6osofs0a05n98b54kfvoqg9qo2r0!nd_dft_wlteh_webp_3","20度的春日PLOG,ai,AI,海报,海报练习,Ai海报设计,AI教程,创意海报,郁金香??",1728973989636,https://www.xiaohongshu.com/explore/6405a4540000000027003819?xsec_token=ABB6-roUYTn6-Z_ldrzBjGrn6mxJougH8h-Xx--6oOaKg=&xsec_source=pc_search,AI设计海报，广告
